LLT	PT_enc
catheter site ischaemia	PT_03910
catheter site macule	PT_03911
catheter site mass	PT_03912
catheter site necrosis	PT_03913
catheter site nerve damage	PT_03914
catheter site nodule	PT_03915
catheter site oedema	PT_03916
catheter site pain	PT_03917
catheter site papule	PT_03918
catheter site paraesthesia	PT_03919
catheter site phlebitis	PT_03920
catheter site pruritus	PT_03921
catheter site pustule	PT_03922
catheter site rash	PT_03923
catheter site related reaction	PT_03924
catheter site scab	PT_03925
catheter site scar	PT_03926
catheter site swelling	PT_03927
catheter site thrombosis	PT_03928
catheter site ulcer	PT_03929
catheter site urticaria	PT_03930
catheter site vasculitis	PT_03931
catheter site vesicles	PT_03932
catheter site warmth	PT_03933
catheterisation cardiac	PT_03934
catheterisation cardiac abnormal	PT_03935
catheterisation cardiac normal	PT_03936
catheterisation venous	PT_03937
cauda equina syndrome	PT_03938
caudal regression syndrome	PT_03939
cautery to nose	PT_03940
cavernous sinus syndrome	PT_03941
cavernous sinus thrombosis	PT_03942
cavopulmonary anastomosis	PT_03943
cayler cardiofacial syndrome	PT_03944
cbl gene mutation	PT_03945
ccr5 receptor positive	PT_03946
cd19 antigen	PT_03947
cd19 antigen loss	PT_03948
cd19 antigen negative	PT_03949
cd19 expression decreased	PT_03950
cd19 lymphocyte count abnormal	PT_03951
cd19 lymphocytes decreased	PT_03952
cd19 lymphocytes increased	PT_03953
cd20 antigen positive	PT_03954
cd25 antigen positive	PT_03955
cd30 expression	PT_03956
cd34 cell count decreased	PT_03957
cd34 cell count increased	PT_03958
cd4 lymphocyte percentage decreased	PT_03959
cd4 lymphocyte percentage increased	PT_03960
cd4 lymphocytes	PT_03961
cd4 lymphocytes abnormal	PT_03962
cd4 lymphocytes decreased	PT_03963
cd4 lymphocytes increased	PT_03964
cd4/cd8 ratio decreased	PT_03965
cd4/cd8 ratio increased	PT_03966
cd8 lymphocyte percentage decreased	PT_03967
cd8 lymphocyte percentage increased	PT_03968
cd8 lymphocytes	PT_03969
cd8 lymphocytes abnormal	PT_03970
cd8 lymphocytes decreased	PT_03971
cd8 lymphocytes increased	PT_03972
cdkl5 deficiency disorder	PT_03973
cebpa gene mutation	PT_03974
celibacy	PT_03975
cell death	PT_03976
cell marker	PT_03977
cell marker decreased	PT_03978
cell marker increased	PT_03979
cell-free and concentrated ascites reinfusion therapy	PT_03980
cell-mediated cytotoxicity	PT_03981
cell-mediated immune deficiency	PT_03982
cells in urine	PT_03983
cellulite	PT_03984
cellulitis	PT_03985
cellulitis enterococcal	PT_03986
cellulitis gangrenous	PT_03987
cellulitis laryngeal	PT_03988
cellulitis of male external genital organ	PT_03989
cellulitis orbital	PT_03990
cellulitis pasteurella	PT_03991
cellulitis pharyngeal	PT_03992
cellulitis staphylococcal	PT_03993
cellulitis streptococcal	PT_03994
cement embolism	PT_03995
cemento osseous dysplasia	PT_03996
cementoplasty	PT_03997
central auditory processing disorder	PT_03998
central cord syndrome	PT_03999
central core disease	PT_04000
secondary hypothyroidism	PT_04001
tertiary hypothyroidism	PT_04001
central hypothyroidism	PT_04001
central nervous system abscess	PT_04002
central nervous system dermoid tumour	PT_04003
central nervous system enteroviral infection	PT_04004
central nervous system function test abnormal	PT_04005
central nervous system fungal infection	PT_04006
central nervous system haemorrhage	PT_04007
central nervous system immune reconstitution inflammatory response	PT_04008
central nervous system infection	PT_04009
central nervous system inflammation	PT_04010
central nervous system injury	PT_04011
central nervous system lesion	PT_04012
central nervous system leukaemia	PT_04013
leukaemic infiltration brain	PT_04013
central nervous system listeria infection	PT_04014
central nervous system lupus	PT_04015
central nervous system lymphoma	PT_04016
central nervous system mass	PT_04017
central nervous system melanoma	PT_04018
central nervous system necrosis	PT_04019
central nervous system neoplasm	PT_04020
central nervous system neuroblastoma	PT_04021
central nervous system stimulation	PT_04022
central nervous system vasculitis	PT_04023
vasculitis cerebral	PT_04023
central nervous system viral infection	PT_04024
central obesity	PT_04025
central pain syndrome	PT_04026
central serous chorioretinopathy	PT_04027
central sleep apnoea syndrome	PT_04028
central venous catheter removal	PT_04029
central venous catheterisation	PT_04030
central venous pressure	PT_04031
central venous pressure abnormal	PT_04032
central venous pressure decreased	PT_04033
central venous pressure increased	PT_04034
central vision loss	PT_04035
central-alveolar hypoventilation	PT_04036
cephalhaematoma	PT_04037
cephalin flocculation abnormal	PT_04038
cephalo-pelvic disproportion	PT_04039
cerebellar artery occlusion	PT_04040
cerebellar artery thrombosis	PT_04041
cerebellar ataxia	PT_04042
cerebellar atrophy	PT_04043
cerebellar cognitive affective syndrome	PT_04044
cerebellar cyst	PT_04045
cerebellar density decreased	PT_04046
cerebellar dysplasia	PT_04047
cerebellar embolism	PT_04048
cerebellar haemangioma	PT_04049
cerebellar haematoma	PT_04050
cerebellar haemorrhage	PT_04051
cerebellar hypoplasia	PT_04052
cerebellar infarction	PT_04053
cerebellar ischaemia	PT_04054
cerebellar microhaemorrhage	PT_04055
cerebellar mutism	PT_04056
cerebellar stroke	PT_04057
cerebellar syndrome	PT_04058
cerebellar tonsillar ectopia	PT_04059
cerebellar tumour	PT_04060
cerebellopontine angle tumour	PT_04061
cerebral amyloid angiopathy	PT_04062
cerebral aneurysm perforation	PT_04063
cerebral arteriosclerosis	PT_04064
cerebral arteriovenous malformation haemorrhagic	PT_04065
cerebral arteritis	PT_04066
cerebral artery embolism	PT_04067
cerebral artery occlusion	PT_04068
cerebral artery perforation	PT_04069
cerebral artery restenosis	PT_04070
cerebral artery stenosis	PT_04071
cerebral artery stent insertion	PT_04072
cerebral artery thrombosis	PT_04073
cerebral aspergillosis	PT_04074
cerebral ataxia	PT_04075
cerebral atrophy	PT_04076
cerebral atrophy congenital	PT_04077
cerebral bypass surgery	PT_04078
cerebral candidiasis	PT_04079
cerebral capillary telangiectasia	PT_04080
cerebral cavernous malformation	PT_04081
cerebral circulatory failure	PT_04082
cerebral congestion	PT_04083
cerebral cyst	PT_04084
cerebral cyst excision	PT_04085
cerebral cyst haemorrhage	PT_04086
cerebral disorder	PT_04087
cerebral dysgenesis	PT_04088
cerebral dysrhythmia	PT_04089
cerebral endovascular aneurysm repair	PT_04090
cerebral fungal infection	PT_04091
cerebral gas embolism	PT_04092
cerebral haemangioma	PT_04093
cerebral haematoma	PT_04094
cerebral haemorrhage	PT_04095
cerebral haemorrhage foetal	PT_04096
cerebral haemorrhage neonatal	PT_04097
cerebral haemosiderin deposition	PT_04098
cerebral hyperperfusion syndrome	PT_04099
cerebral hypoperfusion	PT_04100
cerebral infarction	PT_04101
cerebral infarction foetal	PT_04102
cerebral ischaemia	PT_04103
cerebral lobotomy	PT_04104
cerebral malaria	PT_04105
cerebral mass effect	PT_04106
brain midline shift	PT_04106
cerebral microangiopathy	PT_04107
cerebral microembolism	PT_04108
cerebral microhaemorrhage	PT_04109
cerebral microinfarction	PT_04110
cerebral nocardiosis	PT_04111
cerebral oedema management	PT_04112
cerebral palsy	PT_04113
spastic diplegia	PT_04113
cerebral radiation injury	PT_04114
cerebral reperfusion injury	PT_04115
cerebral revascularisation	PT_04116
cerebral salt-wasting syndrome	PT_04117
cerebral septic infarct	PT_04118
cerebral small vessel ischaemic disease	PT_04119
cerebral sulcal prominence	PT_04120
cerebral thrombosis	PT_04121
cerebral toxoplasmosis	PT_04122
cerebral vascular occlusion	PT_04123
cerebral vasoconstriction	PT_04124
cerebral vasodilatation	PT_04125
intracranial venous sinus thrombosis	PT_04126
cerebral venous sinus thrombosis	PT_04126
cerebral venous thrombosis	PT_04127
cerebral ventricle collapse	PT_04128
cerebral ventricle dilatation	PT_04129
cerebral ventricular rupture	PT_04130
cerebral ventriculogram abnormal	PT_04131
cerebrohepatorenal syndrome	PT_04132
cerebrosclerosis	PT_04133
cerebrospinal fistula	PT_04134
cerebrospinal fluid circulation disorder	PT_04135
cerebrospinal fluid drainage	PT_04136
cerebrospinal fluid leakage	PT_04137
cerebrospinal fluid reservoir placement	PT_04138
cerebrospinal fluid retention	PT_04139
cerebrovascular accident	PT_04140
cerebrovascular accident prophylaxis	PT_04141
cerebrovascular arteriovenous malformation	PT_04142
cerebrovascular disorder	PT_04143
cerebrovascular insufficiency	PT_04144
cerebrovascular operation	PT_04145
cerebrovascular pseudoaneurysm	PT_04146
cerebrovascular stenosis	PT_04147
ceruloplasmin abnormal	PT_04148
ceruloplasmin decreased	PT_04149
ceruloplasmin increased	PT_04150
cerumen impaction	PT_04151
cerumen removal	PT_04152
cervical bulla	PT_04153
cervical conisation	PT_04154
cervical cord compression	PT_04155
cervical cyst	PT_04156
cervical diathermy	PT_04157
cervical dilatation	PT_04158
cervical discharge	PT_04159
cervical dysplasia	PT_04160
cervical friability	PT_04161
cervical incompetence	PT_04162
cervical laser therapy	PT_04163
cervical leukoplakia	PT_04164
cervical plexus block	PT_04165
cervical plexus lesion	PT_04166
cervical polyp	PT_04167
cervical polypectomy	PT_04168
radiculitis cervical	PT_04169
cervical neuritis	PT_04169
cervical root pain	PT_04169
cervical radiculopathy	PT_04169
cervical spinal cord paralysis	PT_04170
cervical spinal stenosis	PT_04171
cervical spondylotic amyotrophy	PT_04172
cervical vertebral fracture	PT_04173
cervicectomy	PT_04174
cervicitis	PT_04175
cervicitis cystic	PT_04176
cervicitis gonococcal	PT_04177
cervicitis human papilloma virus	PT_04178
cervicitis streptococcal	PT_04179
cervicitis trichomonal	PT_04180
cervicobrachial syndrome	PT_04181
cervicogenic dysphagia	PT_04182
cervicogenic headache	PT_04183
cervicogenic vertigo	PT_04184
cervix adenomatous polyp	PT_04185
cervix cancer metastatic	PT_04186
cervix carcinoma	PT_04187
cervix carcinoma recurrent	PT_04188
cervix carcinoma stage 0	PT_04189
cervix carcinoma stage i	PT_04190
cervix carcinoma stage ii	PT_04191
cervix carcinoma stage iii	PT_04192
cervix carcinoma stage iv	PT_04193
cervix cautery	PT_04194
cervix cerclage procedure	PT_04195
cervix disorder	PT_04196
cervix dystocia	PT_04197
cervix enlargement	PT_04198
cervix erythema	PT_04199
cervix haematoma uterine	PT_04200
cervix haemorrhage uterine	PT_04201
cervix inflammation	PT_04202
cervix injury	PT_04203
cervix neoplasm	PT_04204
cervix oedema	PT_04205
cervix operation	PT_04206
cervix scarring	PT_04207
cervix stent placement	PT_04208
cervix warts	PT_04209
cestode infection	PT_04210
cftr gene mutation	PT_04211
cha2ds2-vasc annual stroke risk high	PT_04212
chad2ds2-vasc score increased	PT_04212
cha2ds2-vasc annual stroke risk low	PT_04213
cha2ds2-vasc-score	PT_04214
chagas' cardiomyopathy	PT_04215
chagoma	PT_04216
chalazion	PT_04217
chance fracture	PT_04218
change in sustained attention	PT_04219
change of bowel habit	PT_04220
chanter syndrome	PT_04221
chapped lips	PT_04222
charcot-bouchard microaneurysms	PT_04223
charcot-leyden crystals	PT_04224
charge syndrome	PT_04225
charles bonnet syndrome	PT_04226
checkpoint kinase 2 gene mutation	PT_04227
chediak-higashi syndrome	PT_04228
cheilectomy	PT_04229
cheilitis	PT_04230
cheilitis granulomatosa	PT_04231
cheilosis	PT_04232
chelation therapy	PT_04233
chemical burn	PT_04234
chemical injury	PT_04234
chemical burn of gastrointestinal tract	PT_04235
chemical burn of genitalia	PT_04236
corrosive oropharyngeal injury	PT_04237
chemical burn of oral cavity	PT_04237
chemical burn of respiratory tract	PT_04238
chemical burn of skin	PT_04239
chemical eye injury	PT_04240
chemical burns of eye	PT_04240
chemical cystitis	PT_04241
chemical peel of skin	PT_04242
chemical peritonitis	PT_04243
chemical phlebitis	PT_04244
chemical poisoning	PT_04245
chemical submission	PT_04246
chemokine decreased	PT_04247
chemokine increased	PT_04248
chemotherapeutic drug level above therapeutic	PT_04249
chemotherapeutic drug level below therapeutic	PT_04250
chemotherapeutic drug level decreased	PT_04251
chemotherapeutic drug level increased	PT_04252
chemotherapy	PT_04253
chemotherapy cardiotoxicity attenuation	PT_04254
chemotherapy cytokine prophylaxis	PT_04255
chemotherapy extravasation management	PT_04256
chemotherapy neurotoxicity attenuation	PT_04257
chemotherapy side effect prophylaxis	PT_04258
chemotherapy single agent systemic	PT_04259
chemotherapy toxicity attenuation	PT_04260
chest crushing	PT_04261
chest discomfort	PT_04262
chest expansion decreased	PT_04263
chest injury	PT_04264
chest pain	PT_04265
chest scan	PT_04266
chest scan abnormal	PT_04267
chest tube insertion	PT_04268
thoracostomy	PT_04268
implantable pleural catheter insertion	PT_04268
chest tube removal	PT_04269
chest wall abscess	PT_04270
chest wall cyst	PT_04271
chest wall haematoma	PT_04272
chest wall mass	PT_04273
chest wall necrosis	PT_04274
chest wall operation	PT_04275
chest wall resection	PT_04276
chest wall rigidity	PT_04277
chest wall tumour	PT_04278
chest x-ray	PT_04279
chest x-ray abnormal	PT_04280
cheyne-stokes respiration	PT_04281
chiari network	PT_04282
chiasma syndrome	PT_04283
chikungunya virus infection	PT_04284
chilaiditi's syndrome	PT_04285
child abuse	PT_04286
child maltreatment syndrome	PT_04287
child neglect	PT_04288
child syndrome	PT_04289
child-pugh-turcotte score	PT_04290
child-pugh-turcotte score abnormal	PT_04291
child-pugh-turcotte score decreased	PT_04292
child-pugh-turcotte score increased	PT_04293
childhood	PT_04294
childhood asthma	PT_04295
infantile asthma	PT_04295
childhood depression	PT_04296
childhood psychosis	PT_04297
chillblains	PT_04298
chills	PT_04299
chimerism	PT_04300
chiropractic	PT_04301
chitotriosidase abnormal	PT_04302
chitotriosidase decreased	PT_04303
chitotriosidase increased	PT_04304
chlamydia test	PT_04305
chlamydia test positive	PT_04306
chlamydial cervicitis	PT_04307
chlamydial infection	PT_04308
chlamydial pelvic inflammatory disease	PT_04309
chloasma	PT_04310
chlorine sensitivity	PT_04311
chloroma	PT_04312
chloroma (in remission)	PT_04313
chloropsia	PT_04314
choanal atresia	PT_04315
choanal stenosis	PT_04316
choking	PT_04317
choking sensation	PT_04318
cholaemia	PT_04319
cholangiectasis acquired	PT_04320
cholangioadenoma	PT_04321
cholangiocarcinoma	PT_04322
cholangiogram	PT_04323
cholangiogram abnormal	PT_04324
cholangiolitis	PT_04325
cholangiosarcoma	PT_04326
cholangiostomy	PT_04327
cholangitis	PT_04328
cholangitis acute	PT_04329
cholangitis chronic	PT_04330
cholangitis suppurative	PT_04331
cholangitis infective	PT_04331
cholangitis sclerosing	PT_04332
cholecystectomy	PT_04333
cholecystic intraepithelial neoplasia	PT_04334
cholecystitis	PT_04335
cholecystitis acute	PT_04336
cholecystitis chronic	PT_04337
cholecystitis infective	PT_04338
cholecystocholangitis	PT_04339
cholecystoenterostomy	PT_04340
cholecystostomy	PT_04341
choledochectomy	PT_04342
choledochoenterostomy	PT_04343
choledochotomy	PT_04344
cholelithiasis	PT_04345
cholelithiasis migration	PT_04346
cholelithiasis obstructive	PT_04347
choledocholithotomy	PT_04348
cholelithotomy	PT_04348
cholera	PT_04349
cholestasis	PT_04350
cholestasis of pregnancy	PT_04351
cholestatic liver injury	PT_04352
cholestatic pruritus	PT_04353
cholesteatoma	PT_04354
cholesteatoma removal	PT_04355
cholesterin granuloma of middle ear	PT_04356
cholesterol granuloma	PT_04357
cholesterolosis bulbi	PT_04358
cholesterosis	PT_04359
cholinergic rebound syndrome	PT_04360
cholinergic syndrome	PT_04361
cholinesterase inhibition	PT_04362
choluria	PT_04363
chondrectomy	PT_04364
chondritis	PT_04365
chondroblastoma	PT_04366
chondrocalcinosis pyrophosphate	PT_04367
chondrocalcinosis	PT_04367
chondrodermatitis nodularis chronica helicis	PT_04368
chondrodynia	PT_04369
chondrodysplasia punctata	PT_04370
chondroectodermal dysplasia	PT_04371
chondrolysis	PT_04372
chondroma	PT_04373
chondromalacia	PT_04374
chondromatosis	PT_04375
chondronecrosis	PT_04376
chondropathy	PT_04377
chondroplasty	PT_04378
chondroporosis	PT_04379
chondrosarcoma	PT_04380
chondrosarcoma metastatic	PT_04381
chondrosarcoma recurrent	PT_04382
chondrosis	PT_04383
chordae tendinae rupture	PT_04384
chordee	PT_04385
chordoma	PT_04386
chorea	PT_04387
choreoathetosis	PT_04388
chorioamniotic separation	PT_04389
choriocarcinoma	PT_04390
choriomeningitis lymphocytic	PT_04391
chorioretinal degeneration congenital	PT_04392
chorioretinal disorder	PT_04393
chorioretinal folds	PT_04394
chorioretinal scar	PT_04395
chorioretinitis	PT_04396
chorioretinopathy	PT_04397
choristoma	PT_04398
choroid fissure cyst	PT_04399
choroid melanoma	PT_04400
choroid neoplasm	PT_04401
choroid plexus carcinoma	PT_04402
choroid plexus papilloma	PT_04403
choroid tubercles	PT_04404
choroidal coloboma	PT_04405
choroidal detachment	PT_04406
choroidal dystrophy	PT_04407
choroidal effusion	PT_04408
choroidal haemangioma	PT_04409
choroidal haematoma	PT_04410
choroidal haemorrhage	PT_04411
choroidal infarction	PT_04412
choroidal neovascularisation	PT_04413
choroidal rupture	PT_04414
choroidal sclerosis	PT_04415
choroiditis	PT_04416
chromatopsia	PT_04417
chromaturia	PT_04418
chromoblastomycosis	PT_04419
chromopertubation	PT_04420
chromophobe renal cell carcinoma	PT_04421
chromosomal deletion	PT_04422
chromosomal microduplication	PT_04423
chromosomal mutation	PT_04424
chromosome analysis abnormal	PT_04425
chromosome analysis normal	PT_04426
chromosome banding abnormal	PT_04427
chromosome mapping abnormal	PT_04428
chronic actinic dermatitis	PT_04429
chronic active epstein-barr virus infection	PT_04430
chronic allograft nephropathy	PT_04431
chronic arsenic toxicity	PT_04432
chronic cerebrospinal venous insufficiency	PT_04433
chronic cheek biting	PT_04434
chronic coronary syndrome	PT_04435
chronic cutaneous lupus erythematosus	PT_04436
chronic disease	PT_04437
chronic eosinophilic leukaemia	PT_04438
chronic eosinophilic rhinosinusitis	PT_04439
post viral fatigue syndrome	PT_04440
chronic fatigue syndrome	PT_04440
gastritis atrophic	PT_04441
chronic gastritis	PT_04441
chronic gastrointestinal bleeding	PT_04442
chronic graft versus host disease	PT_04443
chronic graft versus host disease in eye	PT_04444
chronic graft versus host disease in intestine	PT_04445
chronic graft versus host disease in liver	PT_04446
chronic graft versus host disease in lung	PT_04447
chronic graft versus host disease in skin	PT_04448
chronic graft versus host disease oral	PT_04449
chronic granulomatous disease	PT_04450
chronic hepatic failure	PT_04451
chronic hepatitis	PT_04452
chronic hepatitis b	PT_04453
chronic hepatitis c	PT_04454
chronic idiopathic pain syndrome	PT_04455
chronic infantile neurological cutaneous and articular syndrome	PT_04456
chronic inflammatory demyelinating polyradiculoneuropathy	PT_04457
chronic inflammatory response syndrome	PT_04458
chronic kidney disease	PT_04459
renal failure chronic	PT_04459
uraemic pruritus	PT_04460
chronic kidney disease-mineral and bone disorder	PT_04461
renal osteodystrophy	PT_04461
chronic left ventricular failure	PT_04462
chronic leukaemia	PT_04463
chronic leukaemia in remission	PT_04464
chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids	PT_04465
chronic lymphocytic leukaemia	PT_04466
chronic lymphocytic leukaemia (in remission)	PT_04467
chronic lymphocytic leukaemia recurrent	PT_04468
chronic lymphocytic leukaemia refractory	PT_04469
chronic lymphocytic leukaemia stage 0	PT_04470
chronic lymphocytic leukaemia stage 1	PT_04471
chronic lymphocytic leukaemia stage 2	PT_04472
chronic lymphocytic leukaemia stage 3	PT_04473
chronic lymphocytic leukaemia stage 4	PT_04474
chronic lymphocytic leukaemia transformation	PT_04475
chronic myeloid leukaemia	PT_04476
chronic myeloid leukaemia (in remission)	PT_04477
chronic myeloid leukaemia recurrent	PT_04478
chronic myeloid leukaemia transformation	PT_04479
chronic myelomonocytic leukaemia	PT_04480
chronic myelomonocytic leukaemia (in remission)	PT_04481
chronic myelomonocytic leukaemia with n-ras gene mutation	PT_04482
chronic myocarditis	PT_04483
chronic obstructive pulmonary disease	PT_04484
pseudoepitheliomatous hyperplasia	PT_04485
chronic papillomatous dermatitis	PT_04485
chronic paroxysmal hemicrania	PT_04486
chronic pigmented purpura	PT_04487
chronic pulmonary histoplasmosis	PT_04488
chronic recurrent multifocal osteomyelitis	PT_04489
chronic respiratory disease	PT_04490
chronic respiratory failure	PT_04491
chronic rhinosinusitis with nasal polyps	PT_04492
chronic rhinosinusitis without nasal polyps	PT_04493
chronic right ventricular failure	PT_04494
chronic sinusitis	PT_04495
chronic spontaneous urticaria	PT_04496
chronic tic disorder	PT_04497
chronic tonsillitis	PT_04498
chronic traumatic encephalopathy	PT_04499
chronic villitis of unknown etiology	PT_04500
chronotropic incompetence	PT_04501
chung-jansen syndrome	PT_04502
chvostek's sign	PT_04503
chylomicron increased	PT_04504
chylothorax	PT_04505
chyluria	PT_04506
ciliary body degeneration	PT_04507
ciliary body disorder	PT_04508
ciliary body haemorrhage	PT_04509
ciliary body melanoma	PT_04510
ciliary body operation	PT_04511
ciliary hyperaemia	PT_04512
ciliary muscle spasm	PT_04513
ciliary zonular dehiscence	PT_04514
ciliary zonular weakness	PT_04515
cinchonism	PT_04516
cingulectomy	PT_04517
circadian rhythm sleep disorder	PT_04518
circulating anticoagulant	PT_04519
circulating anticoagulant positive	PT_04520
circulating tumour cell count	PT_04521
circulating tumour dna test positive	PT_04522
circulatory collapse	PT_04523
circulatory failure neonatal	PT_04524
circumcised	PT_04525
circumcision	PT_04526
circumoral oedema	PT_04527
circumoral swelling	PT_04528
circumstance or information capable of leading to device use error	PT_04529
circumstance or information capable of leading to medication error	PT_04530
circumstantiality	PT_04531
cirrhosis alcoholic	PT_04532
citrate toxicity	PT_04533
citrate transporter deficiency	PT_04534
citric acid urine decreased	PT_04535
citric acid urine increased	PT_04536
citrobacter bacteraemia	PT_04537
citrobacter infection	PT_04538
citrobacter sepsis	PT_04539
citrobacter test positive	PT_04540
clamping of blood vessel	PT_04541
clang associations	PT_04542
claudication of jaw muscles	PT_04543
claustrophobia	PT_04544
clavicle fracture	PT_04545
clear cell carcinoma of cervix	PT_04546
clear cell endometrial carcinoma	PT_04547
clear cell papillary renal cell carcinoma	PT_04548
clear cell renal cell carcinoma	PT_04549
clear cell sarcoma of soft tissue	PT_04550
clear cell sarcoma of the kidney	PT_04551
cleft lip	PT_04552
cleft lip and palate	PT_04553
cleft lip repair	PT_04554
cleft palate	PT_04555
cleft palate repair	PT_04556
cleft uvula	PT_04557
cleidocranial dysostosis	PT_04558
clinical death	PT_04559
clinical dementia rating scale score abnormal	PT_04560
clinical global impression scale	PT_04561
clinical trial participant	PT_04562
clinically isolated syndrome	PT_04563
clinodactyly	PT_04564
clinomania	PT_04565
clitoral engorgement	PT_04566
clitoris abscess	PT_04567
cloacal exstrophy	PT_04568
clonal evolution	PT_04569
clonal haematopoiesis	PT_04570
clonic convulsion	PT_04571
clonorchiasis	PT_04572
clonus	PT_04573
closed fracture manipulation	PT_04574
closed globe injury	PT_04575
clostridial infection	PT_04576
clostridial sepsis	PT_04577
clostridium difficile sepsis	PT_04577
clostridium bacteraemia	PT_04578
clostridium colitis	PT_04579
clostridium difficile colitis	PT_04580
clostridium difficile infection	PT_04581
clostridium test	PT_04582
clostridium test negative	PT_04583
clostridium test positive	PT_04584
clot retraction	PT_04585
clot retraction abnormal	PT_04586
clot retraction time prolonged	PT_04587
clot retraction time shortened	PT_04588
clotting factor transfusion	PT_04589
clubbing	PT_04590
clumsiness	PT_04591
clumsy child syndrome	PT_04592
cluster headache	PT_04593
cns germinoma	PT_04594
cns ventriculitis	PT_04595
coagulation disorder neonatal	PT_04596
coagulation factor	PT_04597
coagulation factor decreased	PT_04598
coagulation factor deficiency	PT_04599
coagulation factor increased	PT_04600
coagulation factor inhibitor assay	PT_04601
coagulation factor ix level abnormal	PT_04602
coagulation factor ix level decreased	PT_04603
coagulation factor ix level increased	PT_04604
coagulation factor mutation	PT_04605
coagulation factor v level	PT_04606
coagulation factor v level abnormal	PT_04607
coagulation factor v level decreased	PT_04608
coagulation factor v level increased	PT_04609
coagulation factor vii level abnormal	PT_04610
coagulation factor vii level decreased	PT_04611
coagulation factor vii level increased	PT_04612
coagulation factor viii level	PT_04613
coagulation factor viii level abnormal	PT_04614
coagulation factor viii level decreased	PT_04615
coagulation factor viii level increased	PT_04616
coagulation factor x level abnormal	PT_04617
coagulation factor x level decreased	PT_04618
coagulation factor x level increased	PT_04619
coagulation factor x level normal	PT_04620
coagulation factor xi level decreased	PT_04621
coagulation factor xi level increased	PT_04622
coagulation factor xii level decreased	PT_04623
coagulation factor xiii level abnormal	PT_04624
coagulation factor xiii level decreased	PT_04625
coagulation factor xiii level increased	PT_04626
coagulation test	PT_04627
coagulation test abnormal	PT_04628
coagulation test normal	PT_04629
coagulation time	PT_04630
coagulation time abnormal	PT_04631
coagulation time prolonged	PT_04632
coagulation time shortened	PT_04633
coagulopathy	PT_04634
coarctation of the aorta	PT_04635
coating in mouth	PT_04636
cobble stone tongue	PT_04637
coccidioides encephalitis	PT_04638
coccidioidomycosis	PT_04639
coccydynia	PT_04640
coccygectomy	PT_04641
cochlea implant	PT_04642
cochlear injury	PT_04643
cockayne's syndrome	PT_04644
cockroach allergy	PT_04645
coeliac artery aneurysm	PT_04646
coeliac artery compression syndrome	PT_04647
coeliac artery occlusion	PT_04648
coeliac artery stenosis	PT_04649
coeliac disease	PT_04650
coffin-lowry syndrome	PT_04651
cogan's syndrome	PT_04652
cognitive disorder	PT_04653
minor cognitive motor disorder	PT_04653
cognitive linguistic deficit	PT_04654
cognitive rehabilitation	PT_04655
cogwheel rigidity	PT_04656
coinfection	PT_04657
coital bleeding	PT_04658
cold agglutinins	PT_04659
cold agglutinins positive	PT_04660
cold burn	PT_04661
cold dysaesthesia	PT_04662
cold exposure injury	PT_04663
cold shock response	PT_04664
cold sweat	PT_04665
cold type haemolytic anaemia	PT_04666
cold urticaria	PT_04667
cold-stimulus headache	PT_04668
sigmoidectomy	PT_04669
colectomy	PT_04669
colectomy total	PT_04670
caecitis	PT_04671
proctocolitis	PT_04671
colitis	PT_04671
sigmoiditis	PT_04671
colitis erosive	PT_04672
colitis herpes	PT_04673
colitis ischaemic	PT_04674
colitis microscopic	PT_04675
colitis psychogenic	PT_04676
colitis ulcerative	PT_04677
collagen disorder	PT_04678
collagen-vascular disease	PT_04679
collagenous gastritis	PT_04680
collateral circulation	PT_04681
collodion baby	PT_04682
colloid brain cyst	PT_04683
colo-urethral fistula	PT_04684
coloboma	PT_04685
colon cancer	PT_04686
colon cancer metastatic	PT_04687
colon cancer recurrent	PT_04688
colon cancer stage 0	PT_04689
colon cancer stage i	PT_04690
colon cancer stage ii	PT_04691
colon cancer stage iii	PT_04692
colon cancer stage iv	PT_04693
colon dysplasia	PT_04694
colon fistula repair	PT_04695
colon gangrene	PT_04696
colon injury	PT_04697
colon neoplasm	PT_04698
colon operation	PT_04699
pericolic abscess	PT_04700
colonic abscess	PT_04700
colonic angioectasia	PT_04701
colonic fistula	PT_04702
colonic haematoma	PT_04703
colonic lavage	PT_04704
endoscopy large bowel	PT_04705
colonoscopy	PT_04705
colonoscopy abnormal	PT_04706
endoscopy large bowel abnormal	PT_04706
colony stimulating factor therapy	PT_04707
colorectal adenocarcinoma	PT_04708
rectal adenoma	PT_04709
colorectal adenoma	PT_04709
colon adenoma	PT_04709
colorectal cancer	PT_04710
colorectal cancer metastatic	PT_04711
colorectal cancer recurrent	PT_04712
colorectal cancer stage i	PT_04713
colorectal cancer stage ii	PT_04714
colorectal cancer stage iii	PT_04715
colorectal cancer stage iv	PT_04716
colorectal carcinoma stage 0	PT_04717
colorectostomy	PT_04718
colostomy	PT_04719
colostomy bag user	PT_04720
colostomy closure	PT_04721
colostomy infection	PT_04722
colour blindness	PT_04723
colour blindness acquired	PT_04724
colour vision tests abnormal	PT_04725
colour vision tests abnormal red-green	PT_04726
colour vision tests normal	PT_04727
colpocele	PT_04728
colpocleisis	PT_04729
colporrhaphy	PT_04730
rectocele repair	PT_04730
colposcopy	PT_04731
colposcopy abnormal	PT_04732
